japName,total,success,unsuccess
image_0257.jpg,44,0,44
image_0261.jpg,41,0,41
image_0260.jpg,31,0,31
image_0263.jpg,31,0,31
image_0262.jpg,30,0,30
image_0259.jpg,39,0,39
image_0256.jpg,43,0,43
image_0265.jpg,46,0,46
image_0264.jpg,36,0,36
image_0271.jpg,31,0,31
image_0270.jpg,31,0,31
image_0269.jpg,41,0,41
image_0268.jpg,38,0,38
image_0267.jpg,26,0,26
image_0276.jpg,35,0,35
image_0275.jpg,37,0,37
image_0274.jpg,39,0,39
image_0273.jpg,38,0,38
image_0281.jpg,34,0,34
image_0280.jpg,35,0,35
image_0279.jpg,38,0,38
image_0278.jpg,38,0,38
image_0285.jpg,28,0,28
image_0284.jpg,34,0,34
image_0283.jpg,35,0,35
image_0288.jpg,31,0,31
image_0287.jpg,23,0,23
image_0286.jpg,40,0,40
image_0282.jpg,33,0,33
image_0277.jpg,30,0,30
image_0272.jpg,31,0,31
image_0266.jpg,43,0,43
image_0291.jpg,36,0,36
image_0290.jpg,33,0,33
image_0294.jpg,37,0,37
image_0293.jpg,37,0,37
image_0297.jpg,37,0,37
image_0296.jpg,32,0,32
image_0295.jpg,39,0,39
image_0292.jpg,36,0,36
image_0289.jpg,45,0,45
image_0303.jpg,31,0,31
image_0302.jpg,37,0,37
image_0301.jpg,33,0,33
image_0300.jpg,30,0,30
image_0299.jpg,28,0,28
image_0308.jpg,34,0,34
image_0307.jpg,32,0,32
image_0306.jpg,32,0,32
image_0305.jpg,28,0,28
image_0304.jpg,39,0,39
image_0298.jpg,39,0,39
image_0313.jpg,27,0,27
image_0312.jpg,30,0,30
image_0311.jpg,26,0,26
image_0310.jpg,28,0,28
image_0316.jpg,25,0,25
image_0315.jpg,29,0,29
image_0319.jpg,31,0,31
image_0318.jpg,30,0,30
image_0321.jpg,30,0,30
image_0320.jpg,25,0,25
image_0317.jpg,31,0,31
image_0314.jpg,32,0,32
image_0309.jpg,32,0,32
image_0325.jpg,28,0,28
image_0324.jpg,28,0,28
image_0323.jpg,32,0,32
image_0327.jpg,30,0,30
image_0326.jpg,37,0,37
image_0322.jpg,28,0,28
image_0330.jpg,32,0,32
image_0329.jpg,34,0,34
image_0328.jpg,34,0,34
image_0336.jpg,42,0,42
image_0335.jpg,41,0,41
image_0334.jpg,38,0,38
image_0333.jpg,27,0,27
image_0332.jpg,32,0,32
image_0341.jpg,34,0,34
image_0340.jpg,38,0,38
image_0339.jpg,34,0,34
image_0338.jpg,38,0,38
image_0345.jpg,35,0,35
image_0344.jpg,43,0,43
image_0343.jpg,26,0,26
image_0349.jpg,36,0,36
image_0348.jpg,39,0,39
image_0347.jpg,42,0,42
image_0352.jpg,36,0,36
image_0351.jpg,41,0,41
image_0350.jpg,36,0,36
image_0346.jpg,42,0,42
image_0342.jpg,42,0,42
image_0337.jpg,34,0,34
image_0331.jpg,38,0,38
image_0355.jpg,40,0,40
image_0354.jpg,41,0,41
image_0357.jpg,42,0,42
image_0356.jpg,33,0,33
image_0353.jpg,39,0,39
image_0359.jpg,41,0,41
image_0358.jpg,36,0,36
image_0365.jpg,41,0,41
image_0364.jpg,46,0,46
image_0363.jpg,35,0,35
image_0362.jpg,45,0,45
image_0361.jpg,39,0,39
image_0371.jpg,39,0,39
image_0370.jpg,37,0,37
image_0369.jpg,38,0,38
image_0368.jpg,41,0,41
image_0367.jpg,37,0,37
image_0375.jpg,37,0,37
image_0374.jpg,42,0,42
image_0373.jpg,40,0,40
image_0379.jpg,39,0,39
image_0378.jpg,39,0,39
image_0377.jpg,47,0,47
image_0382.jpg,45,0,45
image_0381.jpg,27,0,27
image_0380.jpg,41,0,41
image_0376.jpg,38,0,38
image_0372.jpg,32,0,32
image_0366.jpg,35,0,35
image_0360.jpg,36,0,36
image_0388.jpg,32,0,32
image_0387.jpg,35,0,35
image_0386.jpg,38,0,38
image_0385.jpg,34,0,34
image_0384.jpg,38,0,38
image_0393.jpg,39,0,39
image_0392.jpg,40,0,40
image_0391.jpg,39,0,39
image_0390.jpg,34,0,34
image_0397.jpg,39,0,39
image_0396.jpg,36,0,36
image_0395.jpg,32,0,32
image_0400.jpg,39,0,39
image_0399.jpg,34,0,34
image_0402.jpg,36,0,36
image_0401.jpg,39,0,39
image_0398.jpg,36,0,36
image_0394.jpg,42,0,42
image_0389.jpg,39,0,39
image_0383.jpg,33,0,33
image_0405.jpg,33,0,33
image_0404.jpg,35,0,35
image_0408.jpg,31,0,31
image_0407.jpg,33,0,33
image_0410.jpg,39,0,39
image_0409.jpg,39,0,39
image_0406.jpg,30,0,30
image_0403.jpg,39,0,39
image_0412.jpg,37,0,37
image_0411.jpg,43,0,43
image_0417.jpg,38,0,38
image_0416.jpg,37,0,37
image_0415.jpg,39,0,39
image_0414.jpg,38,0,38
image_0423.jpg,45,0,45
image_0422.jpg,37,0,37
image_0421.jpg,33,0,33
image_0420.jpg,35,0,35
image_0419.jpg,25,0,25
image_0418.jpg,39,0,39
image_0413.jpg,31,0,31
image_0427.jpg,35,0,35
image_0426.jpg,40,0,40
image_0425.jpg,29,0,29
image_0431.jpg,38,0,38
image_0430.jpg,43,0,43
