    instance #	Best UB TS Solution
10_Tao1 R1			
	5	195.00	181.00
	6	183.00	168.25
	7	232.00	213.00
	8	208.00	197.00
	9	228.00	205.00
	10	223.00	212.11
20_Tao5 R7			
	1	248.00	245.00
	2	210.00	203.00
	3	230.00	214.30
	4	228.00	211.11
	5	243.00	233.00
	6	242.00	231.00
	7	259.00	254.00
	8	230.00	209.00
	9	243.00	217.00
	10	247.00	237.00
20_Tao5 R9			
	1	246.00	220.00
	2	239.00	220.00
	3	223.00	210.55
	4	228.00	215.00
	5	156.00	141.00
	6	211.00	211.00
	7	230.00	211.00
	8	238.00	233.00
	9	219.00	204.00
	10	239.00	225.00
20_Tao7 R1			
	1	215.00	202.00
	2	173.00	158.00
	3	222.00	207.00
	4	235.00	213.00
	5	229.00	195.00
	6	227.00	202.00
	7	209.00	190.00
	8	217.00	186.00
	9	221.00	200.00
	10	201.00	190.00
20_Tao7 R3			
	1	189.25	178.00
	2	203.00	179.00
	3	197.00	180.33
	4	202.00	184.00
	5	233.00	218.00
	6	238.00	204.00
	7	218.00	196.00
	8	189.00	177.00
	9	250.00	225.00
	10	174.00	157.00
20_Tao7 R5			
	1	203.00	181.00
	2	223.00	178.00
	3	173.00	149.33
	4	147.00	131.00
	5	208.16	202.80
	6	201.08	200.88
	7	215.20	203.00
	8	166.00	149.00
	9	148.14	148.00
	10	235.00	195.00
20_Tao7 R7			
	1	252.00	227.67
	2	190.00	171.00
	3	213.00	204.00
	4	190.32	175.00
	5	222.75	197.50
	6	223.21	223.00
	7	213.71	213.50
	8	186.18	186.00
	9	238.00	211.00
	10	230.00	202.00
20_Tao7 R9			
	1	209.00	193.00
	2	217.20	190.06
	3	231.00	216.00
	4	265.00	231.00
	5	213.00	194.00
	6	170.89	170.89
	7	176.00	165.00
	8	239.00	220.00
	9	233.22	208.00
	10	160.00	151.00
20_Tao9 R1			
	1	156.01	156.00
	2	201.00	201.00
	3	165.00	163.00
	4	189.00	189.00
	5	177.00	177.00
	6	155.00	155.00
	7	142.00	142.00
	8	178.00	178.00
	9	149.00	149.00
	10	132.00	132.00
20_Tao9 R3			
	1	149.11	149.00
	2	180.16	180.00
	3	136.01	135.00
